gameId,gameDateTimeEst,teamCity,teamName,teamId,opponentTeamCity,opponentTeamName,opponentTeamId,home,win,teamScore,opponentScore,assists,blocks,steals,fieldGoalsAttempted,fieldGoalsMade,fieldGoalsPercentage,threePointersAttempted,threePointersMade,threePointersPercentage,freeThrowsAttempted,freeThrowsMade,freeThrowsPercentage,reboundsDefensive,reboundsOffensive,reboundsTotal,foulsPersonal,turnovers,plusMinusPoints,numMinutes,q1Points,q2Points,q3Points,q4Points,benchPoints,biggestLead,biggestScoringRun,leadChanges,pointsFastBreak,pointsFromTurnovers,pointsInThePaint,pointsSecondChance,timesTied,timeoutsRemaining,seasonWins,seasonLosses,coachId,gameDate
22500624,2026-01-21 15:00:00,New Orleans,Pelicans,1610612740,Detroit,Pistons,1610612765,1,0.0,104,112,19.0,6.0,13.0,86.0,36.0,0.419,32.0,7.0,0.219,30.0,25.0,0.833,32.0,14.0,46.0,20.0,17.0,-8.0,240.0,30.0,32.0,22.0,20.0,46.0,0.0,9.0,0.0,16.0,26.0,54.0,17.0,0.0,1.0,10.0,36.0,,2026-01-21
22500623,2026-01-21 15:00:00,Memphis,Grizzlies,1610612763,Atlanta,Hawks,1610612737,1,0.0,122,124,26.0,7.0,7.0,93.0,43.0,0.462,35.0,12.0,0.343,27.0,24.0,0.889,30.0,13.0,43.0,23.0,17.0,-2.0,240.0,32.0,27.0,36.0,27.0,45.0,11.0,8.0,21.0,15.0,17.0,58.0,20.0,14.0,1.0,18.0,24.0,,2026-01-21
22500624,2026-01-21 15:00:00,Detroit,Pistons,1610612765,New Orleans,Pelicans,1610612740,0,1.0,112,104,26.0,8.0,12.0,88.0,39.0,0.443,39.0,15.0,0.385,24.0,19.0,0.792,34.0,13.0,47.0,21.0,18.0,8.0,240.0,34.0,34.0,21.0,23.0,38.0,13.0,13.0,0.0,36.0,32.0,48.0,14.0,0.0,1.0,32.0,10.0,,2026-01-21
22500621,2026-01-21 14:30:00,Boston,Celtics,1610612738,Indiana,Pacers,1610612754,1,1.0,119,104,24.0,6.0,8.0,88.0,42.0,0.477,31.0,12.0,0.387,25.0,23.0,0.92,40.0,14.0,54.0,19.0,14.0,15.0,240.0,30.0,36.0,25.0,28.0,32.0,23.0,15.0,4.0,7.0,16.0,48.0,16.0,2.0,1.0,27.0,16.0,,2026-01-21
22500622,2026-01-21 14:30:00,Brooklyn,Nets,1610612751,New York,Knicks,1610612752,0,0.0,66,120,15.0,4.0,5.0,79.0,23.0,0.291,40.0,11.0,0.275,13.0,9.0,0.692,23.0,4.0,27.0,16.0,14.0,-54.0,240.0,20.0,18.0,18.0,10.0,30.0,2.0,6.0,4.0,4.0,12.0,20.0,0.0,1.0,0.0,12.0,30.0,,2026-01-21
22500622,2026-01-21 14:30:00,New York,Knicks,1610612752,Brooklyn,Nets,1610612751,1,1.0,120,66,28.0,6.0,10.0,80.0,46.0,0.575,32.0,16.0,0.5,17.0,12.0,0.706,48.0,8.0,56.0,18.0,12.0,54.0,240.0,38.0,22.0,28.0,32.0,59.0,59.0,16.0,4.0,29.0,18.0,48.0,12.0,1.0,1.0,26.0,18.0,,2026-01-21
22500621,2026-01-21 14:30:00,Indiana,Pacers,1610612754,Boston,Celtics,1610612738,0,0.0,104,119,31.0,2.0,6.0,94.0,37.0,0.394,45.0,12.0,0.267,23.0,18.0,0.783,29.0,13.0,42.0,20.0,13.0,-15.0,240.0,20.0,26.0,32.0,26.0,45.0,1.0,8.0,4.0,18.0,19.0,40.0,18.0,2.0,0.0,10.0,35.0,,2026-01-21
22500620,2026-01-21 14:00:00,Cleveland,Cavaliers,1610612739,Charlotte,Hornets,1610612766,0,1.0,94,87,20.0,8.0,6.0,87.0,34.0,0.391,40.0,8.0,0.2,24.0,18.0,0.75,43.0,17.0,60.0,21.0,20.0,7.0,240.0,33.0,23.0,20.0,18.0,25.0,27.0,10.0,0.0,9.0,20.0,46.0,25.0,0.0,0.0,25.0,20.0,,2026-01-21
22500620,2026-01-21 14:00:00,Charlotte,Hornets,1610612766,Cleveland,Cavaliers,1610612739,1,0.0,87,94,20.0,4.0,12.0,98.0,33.0,0.337,47.0,8.0,0.17,18.0,13.0,0.722,30.0,17.0,47.0,23.0,12.0,-7.0,240.0,20.0,12.0,32.0,23.0,27.0,0.0,9.0,0.0,26.0,21.0,50.0,17.0,0.0,0.0,16.0,28.0,,2026-01-21
22500617,2026-01-20 17:00:00,Denver,Nuggets,1610612743,Los Angeles,Lakers,1610612747,1,0.0,107,115,27.0,7.0,6.0,87.0,39.0,0.448,37.0,15.0,0.405,19.0,14.0,0.737,26.0,5.0,31.0,21.0,5.0,-8.0,240.0,37.0,34.0,17.0,19.0,20.0,16.0,8.0,1.0,7.0,20.0,40.0,4.0,4.0,0.0,29.0,15.0,,2026-01-20
